
Hour,Minute,Second,Name,Role,Message,Mode
0,0,10,Daniel Bitton,Host,"Welcome everyone to the YouTube Portal webinar!",normal
0,0,35,Sarah,,"Excited to be here! Looking forward to learning more about AI shorts.",normal
0,1,15,Jake,,"Is this strategy really working in 2023?",normal
0,1,45,ModeratorAlex,Moderator,"Yes Jake! The strategy has been updated for 2023 algorithms.",normal
0,2,30,Michael,,"How many hours per day do we need to dedicate to this?",normal
0,3,0,Daniel Bitton,Host,"Great question Michael! Most of our successful students spend about 2-3 hours per week. The AI automation does most of the heavy lifting.",normal
0,4,15,Jessica,,"Will this work in non-English markets too?",normal
0,4,45,ModeratorAlex,Moderator,"Absolutely Jessica! We have students succeeding in Spanish, German, French and several other markets.",normal
0,5,30,Thomas,,"I tried other YouTube courses before without much success. How is this different?",normal
0,6,0,Daniel Bitton,Host,"The key difference is our AI-powered approach. We focus on shorts that actually get recommended by the algorithm.",normal
0,7,15,Emma,,"When can we expect to see results?",normal
0,8,0,Daniel Bitton,Host,"Most students start seeing traction within 2-3 weeks, but it varies based on niche and consistency.",normal
0,9,30,Ryan,,"Do we need to show our face in these videos?",normal
0,10,0,ModeratorAlex,Moderator,"Not at all Ryan! Many of our top performers use voiceovers with AI-generated visuals only.",normal
0,12,15,Sophia,,"What equipment do we need to get started?",normal
0,13,0,Daniel Bitton,Host,"Just your smartphone and a computer! Our templates work with free editing software too.",normal
0,15,45,Kevin,,"Is there a community or support group?",normal
0,16,30,ModeratorAlex,Moderator,"Yes Kevin! You'll get access to our private community with over 2,500 members.",normal
0,20,0,Daniel Bitton,Host,"I'll be showing you actual examples from our students in a moment. The results speak for themselves!",normal
0,25,30,Olivia,,"Will this work in competitive niches like finance?",normal
0,26,15,Daniel Bitton,Host,"Great question Olivia. We have several successful case studies in finance, fitness, and other competitive niches.",normal
0,30,0,James,,"What about content creation? How does the AI help with that?",normal
0,31,30,Daniel Bitton,Host,"The AI handles script generation, topic research, and even helps optimize your content for the algorithm.",normal
0,35,45,Mia,,"I'm not tech savvy. Will I be able to follow along?",normal
0,36,15,ModeratorAlex,Moderator,"Absolutely Mia! We've designed our system to be user-friendly for beginners.",normal
0,40,0,Daniel Bitton,Host,"Now let me walk you through our proprietary AI shorts formula...",normal
